Frame,Timestamp,Joint,Angle,Status
62,1774369926.8425148,Right Arm,11,Bent
62,1774369926.8425148,Left Leg,177,Extended
62,1774369926.8437123,Right Leg,179,Extended
63,1774369926.9227753,Left Arm,38,Bent
63,1774369926.9237735,Right Arm,11,Bent
63,1774369926.9237735,Left Leg,177,Extended
63,1774369926.9237735,Right Leg,179,Extended
64,1774369927.013189,Left Arm,141,Bent
64,1774369927.014203,Right Arm,11,Bent
64,1774369927.014203,Left Leg,178,Extended
64,1774369927.0152013,Right Leg,179,Extended
65,1774369927.1009681,Left Arm,30,Bent
65,1774369927.1019685,Right Arm,11,Bent
65,1774369927.1019685,Left Leg,177,Extended
65,1774369927.1019685,Right Leg,179,Extended
66,1774369927.1983893,Left Arm,31,Bent
66,1774369927.19941,Right Arm,11,Bent
66,1774369927.19941,Left Leg,177,Extended
66,1774369927.2004104,Right Leg,179,Extended
67,1774369927.2898898,Left Arm,93,Bent
67,1774369927.2898898,Right Arm,11,Bent
67,1774369927.2909145,Left Leg,178,Extended
67,1774369927.2909145,Right Leg,179,Extended
68,1774369927.3796704,Left Arm,33,Bent
68,1774369927.3807054,Right Arm,12,Bent
68,1774369927.3807054,Left Leg,177,Extended
68,1774369927.3812237,Right Leg,179,Extended
69,1774369927.4560466,Left Arm,30,Bent
69,1774369927.4560466,Right Arm,12,Bent
69,1774369927.4560466,Left Leg,177,Extended
69,1774369927.4575331,Right Leg,179,Extended
70,1774369927.5286112,Left Arm,31,Bent
70,1774369927.5286112,Right Arm,12,Bent
70,1774369927.5286112,Left Leg,177,Extended
70,1774369927.5286112,Right Leg,179,Extended
71,1774369927.6083279,Left Arm,30,Bent
71,1774369927.609347,Right Arm,12,Bent
71,1774369927.609347,Left Leg,177,Extended
71,1774369927.609347,Right Leg,179,Extended
72,1774369927.679346,Left Arm,32,Bent
72,1774369927.679346,Right Arm,12,Bent
72,1774369927.679346,Left Leg,178,Extended
72,1774369927.680344,Right Leg,179,Extended
73,1774369927.7612002,Left Arm,33,Bent
73,1774369927.7612002,Right Arm,12,Bent
73,1774369927.7622004,Left Leg,178,Extended
73,1774369927.7622004,Right Leg,179,Extended
74,1774369927.837964,Left Arm,33,Bent
74,1774369927.837964,Right Arm,12,Bent
74,1774369927.837964,Left Leg,178,Extended
74,1774369927.8389628,Right Leg,179,Extended
75,1774369927.9134653,Left Arm,31,Bent
75,1774369927.9134653,Right Arm,12,Bent
75,1774369927.9134653,Left Leg,178,Extended
75,1774369927.9148295,Right Leg,179,Extended
76,1774369927.9995184,Left Arm,31,Bent
76,1774369928.000516,Right Arm,12,Bent
76,1774369928.000516,Left Leg,178,Extended
76,1774369928.0015178,Right Leg,179,Extended
77,1774369928.0826437,Left Arm,36,Bent
77,1774369928.0826437,Right Arm,12,Bent
77,1774369928.0826437,Left Leg,178,Extended
77,1774369928.0839279,Right Leg,179,Extended
78,1774369928.1832423,Left Arm,32,Bent
78,1774369928.1832423,Right Arm,12,Bent
78,1774369928.1842408,Left Leg,177,Extended
78,1774369928.1852431,Right Leg,179,Extended
79,1774369928.2746043,Left Arm,33,Bent
79,1774369928.2746043,Right Arm,12,Bent
79,1774369928.2759619,Left Leg,177,Extended
79,1774369928.2759619,Right Leg,179,Extended
80,1774369928.3642964,Left Arm,33,Bent
80,1774369928.3642964,Right Arm,12,Bent
80,1774369928.3642964,Left Leg,177,Extended
80,1774369928.3653004,Right Leg,179,Extended
81,1774369928.4463384,Left Arm,32,Bent
81,1774369928.4463384,Right Arm,11,Bent
81,1774369928.4463384,Left Leg,178,Extended
81,1774369928.4473877,Right Leg,179,Extended
82,1774369928.5225058,Left Arm,55,Bent
82,1774369928.5235553,Right Arm,11,Bent
82,1774369928.5235553,Left Leg,178,Extended
82,1774369928.5235553,Right Leg,179,Extended
83,1774369928.600957,Left Arm,36,Bent
83,1774369928.6019955,Right Arm,11,Bent
83,1774369928.6019955,Left Leg,178,Extended
83,1774369928.6019955,Right Leg,179,Extended
84,1774369928.6805003,Left Arm,33,Bent
84,1774369928.6805003,Right Arm,12,Bent
84,1774369928.6815012,Left Leg,177,Extended
84,1774369928.6815012,Right Leg,179,Extended
85,1774369928.7578743,Left Arm,105,Bent
85,1774369928.7578743,Right Arm,10,Bent
